id,title,signing_date,published_date
11743,"Modifying Proclamation 3279, as amended, with respect to the Oil Policy Committee",1973-10-23,1973-10-25
11744,"Cost-of-living allowance provided to employees of the Joint Federal-State Land Use Planning Commission for Alaska",1973-10-24,1973-10-26
11745,"Creating an emergency board to investigate a dispute between the Long Island Rail Road and certain of its employees",1973-11-01,1973-11-05
11746,"Assigning emergency preparedness functions to the United States Treasury Department",1973-11-07,1973-11-09
11747,"Delegating certain authority of the President under the Water Resources Planning Act, as amended",1973-11-07,1973-11-09
11748,"Federal Energy Office",1973-12-04,1973-12-06
11749,"Consolidating disaster relief functions assigned to the Secretary of Housing and Urban Development",1973-12-10,1973-12-12
11750,"Providing for the closing of Government departments and agencies on Monday, December 24, 1973 and Monday, December 31, 1973",1973-12-13,1973-12-14
11751,"Authorizing the Secretary of Transportation to grant exemptions from daylight saving time and realignments of time zone limits",1973-12-15,1973-12-18
11752,"Prevention, control, and abatement of environmental pollution at Federal facilities",1973-12-17,1973-12-19
11753,"Establishing the President's Export Council and for other purposes",1973-12-20,1973-12-21
11754,"Modifying rates of interest equalization tax",1973-12-26,1973-12-28
11755,"Relating to prison labor",1973-12-29,1974-01-03
11756,"Exemption of Whitney Gillilland from mandatory retirement",1973-12-30,1974-01-03
11757,"Exemption of Lawrence Quincy Mumford from mandatory retirement",1973-12-30,1974-01-03
11758,"Delegating authority of the President under the Rehabilitation Act of 1973",1974-01-15,1974-01-17
11759,"Prescribing the compensation of certain officials in the Domestic and International Business Administration, Department of Commerce",1974-01-15,1974-01-17
11760,"Designating the European Space Research Organization (ESRO) as a public international organization entitled to enjoy certain privileges, exemptions, and immunities",1974-01-17,1974-01-21
11761,"To facilitate coordination of Federal education programs",1974-01-17,1974-01-21
11762,"Delegating to the Administrator of Veterans' Affairs certain authority relating to grants-in-aid to the Republic of the Philippines for medical care and treatment of veterans",1974-01-17,1974-01-21
11763,"Establishing a National Commission for the Observance of World Population Year",1974-01-17,1974-01-21
11764,"Nondiscrimination in federally assisted programs",1974-01-21,1974-01-23
11765,"Sale of vessels of the Navy",1974-01-21,1974-01-23
11766,"Modifying rates of interest equalization tax",1974-01-29,1974-01-30
11767,"Designating the Organization of African Unity as a public international organization entitled to enjoy certain privileges, exemptions, and immunities",1974-02-19,1974-02-21
11768,"Placing certain positions in levels IV and V of the Executive Schedule",1974-02-20,1974-02-22
11769,"Advisory committee management",1974-02-21,1974-02-25
11770,"International Symposium on Geothermal Energy--1975",1974-02-21,1974-02-25
11771,"Extending diplomatic privileges and immunities to the Liaison Office of the People's Republic of China in Washington, DC and to members thereof",1974-03-18,1974-03-20
11772,"Delegating certain authority of the President to the Secretary of State",1974-03-21,1974-03-22
11773,"Revoking the authority of the Department of Agriculture to inspect income tax returns",1974-03-21,1974-03-22
11774,"Amending Executive Order No. 11768, placing certain positions in levels IV and V of the Executive Schedule",1974-03-26,1974-03-28
11775,"Abolishing the Energy Policy Office",1974-03-26,1974-03-28
11776,"Continuing the President's Committee on Mental Retardation and broadening its membership and responsibilities",1974-03-28,1974-04-01
11777,"Amending Executive Order No. 11691, adjusting rates of pay for certain statutory pay systems",1974-04-12,1974-04-15
11778,"Amending Executive Order No. 11692, adjusting the rates of monthly basic pay for members of the Uniformed Services",1974-04-12,1974-04-15
11779,"Delegating the authority of the President under section 9 of the United Nations Participation Act, as amended, to the Secretary of State",1974-04-19,1974-04-22
11780,"Amending Executive Order No. 11768, placing certain positions in levels IV and V of the Executive Schedule",1974-04-22,1974-04-24
11781,"Providing for an orderly termination of the Economic Stabilization Program",1974-05-01,1974-05-06
11782,"Establishing the Federal Financing Bank Advisory Council",1974-05-06,1974-05-07
11783,"Creating an emergency board to investigate a dispute between the carriers represented by the National Railway Labor Conference and certain of their employees",1974-05-21,1974-05-23
11784,"Delegating to the Administrator of General Services certain authority to issue regulations relating to joint funding",1974-05-30,1974-06-03
11785,"Amending Executive Order No. 10450, as amended, relating to security requirements for Government employment and for other purposes",1974-06-04,1974-06-06
11786,"Inspection of tax returns by the Committee on the Judiciary, House of Representatives",1974-06-07,1974-06-11
11787,"Revoking Executive Order No. 10987, relating to agency systems for appeals from adverse actions",1974-06-11,1974-06-13
11788,"Providing for the orderly termination of economic stabilization activities",1974-06-18,1974-06-20
11789,"President's Committee on East-West Trade Policy",1974-06-25,1974-06-27
11790,"Providing for the effectuation of the Federal Energy Administration Act of 1974",1974-06-25,1974-06-27
11791,"Exemption of Kenneth H. Tuggle from mandatory retirement",1974-06-25,1974-06-27
11792,"Abolishing the Advisory Council on Intergovernmental Personnel Policy",1974-06-25,1974-06-27
11793,"Designation of certain officers of the Department of Agriculture to act as Secretary of Agriculture",1974-07-10,1974-07-12
11794,"Revoking Executive Order No. 10958, relating to the Civil Defense medical and food stockpiles",1974-07-11,1974-07-15
11795,"Delegating disaster relief functions pursuant to the Disaster Relief Act of 1974",1974-07-11,1974-07-15
11796,"Continuing the regulation of exports",1974-07-30,1974-08-02
11797,"Delegating to the Secretary of Agriculture the function of submitting an annual report to the Congress concerning the location of new Federal facilities in rural areas",1974-07-31,1974-08-02
