citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
75 FR 82583, 2010-33169,82589,"Supersedes: EO 12015, October 26, 1977;;
 ;  Revokes: EO 13318, November 21, 2003; EO 13162, July 6, 2000",13562,https://www.federalregister.gov/documents/2010/12/30/2010-33169/recruiting-and-hiring-students-and-recent-graduates,https://www.gpo.gov/fdsys/pkg/FR-2010-12-30/pdf/2010-33169.pdf,12/30/2010,12/27/2010,82583,Recruiting and Hiring Students and Recent Graduates
76 FR 3821, 2011-1385,3823,"See: EO 12866, September 30, 1993; EO 13579, July 11, 2011; EO 13604, March 22, 2012; EO 13609, May 1, 2012; EO 13610, May 10, 2012; EO 13636, February 12, 2013; EO 13707, September 15, 2015",13563,https://www.federalregister.gov/documents/2011/01/21/2011-1385/improving-regulation-and-regulatory-review,https://www.gpo.gov/fdsys/pkg/FR-2011-01-21/pdf/2011-1385.pdf,01/21/2011,01/18/2011,3821,Improving Regulation and Regulatory Review
76 FR 6309, 2011-2577,6310,"Revokes: EO 13501, February 6, 2009",13564,https://www.federalregister.gov/documents/2011/02/03/2011-2577/establishment-of-the-presidents-council-on-jobs-and-competitiveness,https://www.gpo.gov/fdsys/pkg/FR-2011-02-03/pdf/2011-2577.pdf,02/03/2011,01/31/2011,6309,Establishment of the President's Council on Jobs and Competitiveness
76 FR 7681, 2011-3257,7683,"",13565,https://www.federalregister.gov/documents/2011/02/11/2011-3257/establishment-of-the-intellectual-property-enforcement-advisory-committees,https://www.gpo.gov/fdsys/pkg/FR-2011-02-11/pdf/2011-3257.pdf,02/11/2011,02/08/2011,7681,Establishment of the Intellectual Property Enforcement Advisory Committees
76 FR 11315, 2011-4753,11318,"See: EO 13726, April 19, 2016",13566,https://www.federalregister.gov/documents/2011/03/02/2011-4753/blocking-property-and-prohibiting-certain-transactions-related-to-libya,https://www.gpo.gov/fdsys/pkg/FR-2011-03-02/pdf/2011-4753.pdf,03/02/2011,02/25/2011,11315,Blocking Property and Prohibiting Certain Transactions Related to Libya
76 FR 13275, 2011-5728,13281,"See: EO 13491, January 22, 2009; EO 13492, January 22, 2009",13567,https://www.federalregister.gov/documents/2011/03/10/2011-5728/periodic-review-of-individuals-detained-at-guantnamo-bay-naval-station-pursuant-to-the-authorization,https://www.gpo.gov/fdsys/pkg/FR-2011-03-10/pdf/2011-5728.pdf,03/10/2011,03/07/2011,13275,Periodic Review of Individuals Detained at Guantánamo Bay Naval Station Pursuant to the Authorization for Use of Military Force
76 FR 13495, 2011-5903,13497,"",13568,https://www.federalregister.gov/documents/2011/03/11/2011-5903/extending-provisions-of-the-international-organizations-immunities-act-to-the-office-of-the-high,https://www.gpo.gov/fdsys/pkg/FR-2011-03-11/pdf/2011-5903.pdf,03/11/2011,03/08/2011,13495,Extending Provisions of the International Organizations Immunities Act to the Office of the High Representative in Bosnia and Herzegovina and the International Civilian Office in Kosovo
76 FR 19889, 2011-8642,19892,"Amends: EO 12824, December 7, 1992; EO 12835, January 25, 1993; EO 12859, August 16, 1993; EO 13532, February 26, 2010;;
 ;  Revokes: EO 13507, April 8, 2009;;
 ;  See: EO 13498, February 5, 2009",13569,https://www.federalregister.gov/documents/2011/04/08/2011-8642/amendments-to-executive-orders-12824-12835-12859-and-13532-reestablishment-pursuant-to-executive,https://www.gpo.gov/fdsys/pkg/FR-2011-04-08/pdf/2011-8642.pdf,04/08/2011,04/05/2011,19889,"Amendments to Executive Orders 12824, 12835, 12859, and 13532, Reestablishment Pursuant to Executive Order 13498, and Revocation of Executive Order 13507"
76 FR 22289, 2011-9739,22292,"See: EO 13466, June 26, 2008; EO 13551, August 30, 2010; EO 13687, January 2, 2015",13570,https://www.federalregister.gov/documents/2011/04/20/2011-9739/prohibiting-certain-transactions-with-respect-to-north-korea,https://www.gpo.gov/fdsys/pkg/FR-2011-04-20/pdf/2011-9739.pdf,04/20/2011,04/18/2011,22289,Prohibiting Certain Transactions With Respect to North Korea
76 FR 24339, 2011-10732,24341,"See: EO 12862, September 11, 1993; Memoranda of March 22, 1995, and March 3, 1998",13571,https://www.federalregister.gov/documents/2011/05/02/2011-10732/streamlining-service-delivery-and-improving-customer-service,https://www.gpo.gov/fdsys/pkg/FR-2011-05-02/pdf/2011-10732.pdf,05/02/2011,04/27/2011,24339,Streamlining Service Delivery and Improving Customer Service
76 FR 24787, 2011-10910,24789,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13573, May 18, 2011; EO 13582, August 17, 2011",13572,https://www.federalregister.gov/documents/2011/05/03/2011-10910/blocking-property-of-certain-persons-with-respect-to-human-rights-abuses-in-syria,https://www.gpo.gov/fdsys/pkg/FR-2011-05-03/pdf/2011-10910.pdf,05/03/2011,04/29/2011,24787,Blocking Property of Certain Persons With Respect to Human Rights Abuses in Syria
76 FR 29143, 2011-12645,29146,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; EO 13582, August 17, 2011",13573,https://www.federalregister.gov/documents/2011/05/20/2011-12645/blocking-property-of-senior-officials-of-the-government-of-syria,https://www.gpo.gov/fdsys/pkg/FR-2011-05-20/pdf/2011-12645.pdf,05/20/2011,05/18/2011,29143,Blocking Property of Senior Officials of the Government of Syria
76 FR 30505, 2011-13173,30507,"See: EO 12957, March 15, 1995
Revoked by: EO 13716, January 16, 2016",13574,https://www.federalregister.gov/documents/2011/05/25/2011-13173/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-sanctions-act-of-1996-as,https://www.gpo.gov/fdsys/pkg/FR-2011-05-25/pdf/2011-13173.pdf,05/25/2011,05/23/2011,30505,"Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Sanctions Act of 1996, as Amended"
76 FR 34839, 2011-14919,34843,"",13575,https://www.federalregister.gov/documents/2011/06/14/2011-14919/establishment-of-the-white-house-rural-council,https://www.gpo.gov/fdsys/pkg/FR-2011-06-14/pdf/2011-14919.pdf,06/14/2011,06/09/2011,34839,Establishment of the White House Rural Council
76 FR 35295, 2011-15181,35299,"",13576,https://www.federalregister.gov/documents/2011/06/16/2011-15181/delivering-an-efficient-effective-and-accountable-government,https://www.gpo.gov/fdsys/pkg/FR-2011-06-16/pdf/2011-15181.pdf,06/16/2011,06/13/2011,35295,"Delivering an Efficient, Effective, and Accountable Government"
76 FR 35715, 2011-15443,35717,"",13577,https://www.federalregister.gov/documents/2011/06/20/2011-15443/establishment-of-the-selectusa-initiative,https://www.gpo.gov/fdsys/pkg/FR-2011-06-20/pdf/2011-15443.pdf,06/20/2011,06/15/2011,35715,Establishment of the SelectUSA Initiative
76 FR 40591, 2011-17447,40592,"Revokes: EO 13509, June 23, 2009",13578,https://www.federalregister.gov/documents/2011/07/11/2011-17447/coordinating-policies-on-automotive-communities-and-workers,https://www.gpo.gov/fdsys/pkg/FR-2011-07-11/pdf/2011-17447.pdf,07/11/2011,07/06/2011,40591,Coordinating Policies on Automotive Communities and Workers
76 FR 41585, 2011-17953,41588,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011",13579,https://www.federalregister.gov/documents/2011/07/14/2011-17953/regulation-and-independent-regulatory-agencies,https://www.gpo.gov/fdsys/pkg/FR-2011-07-14/pdf/2011-17953.pdf,07/14/2011,07/11/2011,41585,Regulation and Independent Regulatory Agencies
76 FR 41987, 2011-18065,41991,"See: EO 13547, June 19, 2010",13580,https://www.federalregister.gov/documents/2011/07/15/2011-18065/interagency-working-group-on-coordination-of-domestic-energy-development-and-permitting-in-alaska,https://www.gpo.gov/fdsys/pkg/FR-2011-07-15/pdf/2011-18065.pdf,07/15/2011,07/12/2011,41987,Interagency Working Group on Coordination of Domestic Energy Development and Permitting in Alaska
76 FR 44757, 2011-19156,44759,"",13581,https://www.federalregister.gov/documents/2011/07/27/2011-19156/blocking-property-of-transnational-criminal-organizations,https://www.gpo.gov/fdsys/pkg/FR-2011-07-27/pdf/2011-19156.pdf,07/27/2011,07/24/2011,44757,Blocking Property of Transnational Criminal Organizations
76 FR 52209, 2011-21505,52211,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; and EO 13573, May 18, 2011",13582,https://www.federalregister.gov/documents/2011/08/22/2011-21505/blocking-property-of-the-government-of-syria-and-prohibiting-certain-transactions-with-respect-to,https://www.gpo.gov/fdsys/pkg/FR-2011-08-22/pdf/2011-21505.pdf,08/22/2011,08/17/2011,52209,Blocking Property of the Government of Syria and Prohibiting Certain Transactions With Respect to Syria
76 FR 52845, 2011-21704,52849,"See: EO 13078, March 13, 1998; EO 13163, July 26, 2000; EO 13171, October 12, 2000; EO 13518, November 9, 2009; EO 13548, July 26, 2010; and EO 13583, August 18, 2011",13583,https://www.federalregister.gov/documents/2011/08/23/2011-21704/establishing-a-coordinated-government-wide-initiative-to-promote-diversity-and-inclusion-in-the,https://www.gpo.gov/fdsys/pkg/FR-2011-08-23/pdf/2011-21704.pdf,08/23/2011,08/18/2011,52845,Establishing a Coordinated Government-Wide Initiative to Promote Diversity and Inclusion in the Federal Workforce
76 FR 56945, 2011-23891,56947,"Revoked by: EO 13721, March 14, 2016",13584,https://www.federalregister.gov/documents/2011/09/15/2011-23891/developing-an-integrated-strategic-counterterrorism-communications-initiative-and-establishing-a,https://www.gpo.gov/fdsys/pkg/FR-2011-09-15/pdf/2011-23891.pdf,09/15/2011,09/09/2011,56945,Developing an Integrated Strategic Counterterrorism Communications Initiative and Establishing a Temporary Organization to Support Certain Government-wide Communications Activities Directed Abroad
76 FR 62281, 2011-26141,62282,"See: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 11612, July 26, 1971; EO 12131, May 4, 1979; EO 12216, June 18, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12829, January 6, 1993; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13231, October 16, 2001; EO 13265, June 6, 2002; EO 13270, July 3, 2002; EO 13515, October 14, 2009; EO 13592, December 2, 2011 ;
 Supersedes: EO 13511, September 29, 2009;
 Superseded in part by: EO 13652, September 30, 2013;
 Amends: EO 13515, October 14, 2009",13585,https://www.federalregister.gov/documents/2011/10/07/2011-26141/continuance-of-certain-federal-advisory-committees,https://www.gpo.gov/fdsys/pkg/FR-2011-10-07/pdf/2011-26141.pdf,10/07/2011,09/30/2011,62281,Continuance of Certain Federal Advisory Committees
76 FR 63533, 2011-26574,63535,"",13586,https://www.federalregister.gov/documents/2011/10/12/2011-26574/establishing-an-emergency-board-to-investigate-disputes-between-certain-railroads-represented-by-the,https://www.gpo.gov/fdsys/pkg/FR-2011-10-12/pdf/2011-26574.pdf,10/12/2011,10/06/2011,63533,Establishing an Emergency Board to Investigate Disputes Between Certain Railroads Represented by the National Carriers' Conference Committee of the National Railway Labor Conference and Their Employees Represented by Certain Labor Organizations
76 FR 63811, 2011-26729,63815,"",13587,https://www.federalregister.gov/documents/2011/10/13/2011-26729/structural-reforms-to-improve-the-security-of-classified-networks-and-the-responsible-sharing-and,https://www.gpo.gov/fdsys/pkg/FR-2011-10-13/pdf/2011-26729.pdf,10/13/2011,10/07/2011,63811,Structural Reforms To Improve the Security of Classified Networks and the Responsible Sharing and Safeguarding of Classified Information
76 FR 68295, 2011-28728,68296,"",13588,https://www.federalregister.gov/documents/2011/11/03/2011-28728/reducing-prescription-drug-shortages,https://www.gpo.gov/fdsys/pkg/FR-2011-11-03/pdf/2011-28728.pdf,11/03/2011,10/31/2011,68295,Reducing Prescription Drug Shortages
76 FR 70861, 2011-29683,70864,"See: EO 13576, June 13, 2011; Memorandum of May 24, 2011",13589,https://www.federalregister.gov/documents/2011/11/15/2011-29683/promoting-efficient-spending,https://www.gpo.gov/fdsys/pkg/FR-2011-11-15/pdf/2011-29683.pdf,11/15/2011,11/09/2011,70861,Promoting Efficient Spending
76 FR 72609, 2011-30463,72612,"See: EO 12957, March 15, 1995
Revoked by: EO 13716, January 16, 2016",13590,https://www.federalregister.gov/documents/2011/11/23/2011-30463/authorizing-the-imposition-of-certain-sanctions-with-respect-to-the-provision-of-goods-services,https://www.gpo.gov/fdsys/pkg/FR-2011-11-23/pdf/2011-30463.pdf,11/23/2011,11/20/2011,72609,"Authorizing the Imposition of Certain Sanctions With Respect to the Provision of Goods, Services, Technology, or Support for Iran's Energy and Petrochemical Sectors"
76 FR 74621, 2011-30990,74624,"See: EO 13521, November 24, 2009; EO 13522, December 9, 2009; EO 13532, February 26, 2010; EO 13538, April 22, 2010; EO 13539, April 21, 2011; EO 13540, April 26, 2010; EO 13549, August 18, 2010; EO 13544, June 10, 2010; EO 13631, December 7, 2012",13591,https://www.federalregister.gov/documents/2011/11/30/2011-30990/continuance-of-certain-federal-advisory-committees,https://www.gpo.gov/fdsys/pkg/FR-2011-11-30/pdf/2011-30990.pdf,11/30/2011,11/23/2011,74621,Continuance of Certain Federal Advisory Committees
76 FR 76603, 2011-31624,76607,"Revokes: EO 13270, July 3, 2002; EO 13336, April 30, 2004; EO 13585, September 30, 2011",13592,https://www.federalregister.gov/documents/2011/12/08/2011-31624/improving-american-indian-and-alaska-native-educational-opportunities-and-strengthening-tribal,https://www.gpo.gov/fdsys/pkg/FR-2011-12-08/pdf/2011-31624.pdf,12/08/2011,12/02/2011,76603,Improving American Indian and Alaska Native Educational Opportunities and Strengthening Tribal Colleges and Universities
76 FR 78449, 2011-32486,78463,"",13593,https://www.federalregister.gov/documents/2011/12/16/2011-32486/2011-amendments-to-the-manual-for-courts-martial-united-states,https://www.gpo.gov/fdsys/pkg/FR-2011-12-16/pdf/2011-32486.pdf,12/16/2011,12/13/2011,78449,"2011 Amendments to the Manual for Courts-Martial, United States"
76 FR 80191, 2011-33087,80203,"Supersedes: EO 13561, December 22, 2010",13594,https://www.federalregister.gov/documents/2011/12/23/2011-33087/adjustments-of-certain-rates-of-pay,https://www.gpo.gov/fdsys/pkg/FR-2011-12-23/pdf/2011-33087.pdf,12/23/2011,12/19/2011,80191,Adjustments of Certain Rates of Pay
76 FR 80205, 2011-33089,80207,"",13595,https://www.federalregister.gov/documents/2011/12/23/2011-33089/instituting-a-national-action-plan-on-women-peace-and-security,https://www.gpo.gov/fdsys/pkg/FR-2011-12-23/pdf/2011-33089.pdf,12/23/2011,12/19/2011,80205,"Instituting a National Action Plan On Women, Peace, And Security"
76 FR 80725, 2011-33335,80726,"Amends: EO 12131, May 4, 1979; EO 13539, April 21, 2010",13596,https://www.federalregister.gov/documents/2011/12/27/2011-33335/amendments-to-executive-orders-12131-and-13539,https://www.gpo.gov/fdsys/pkg/FR-2011-12-27/pdf/2011-33335.pdf,12/27/2011,12/19/2011,80725,Amendments to Executive Orders 12131 and 13539
77 FR 3373, 2012-1568,3375,"See: EO 13749, November 29, 2016",13597,https://www.federalregister.gov/documents/2012/01/24/2012-1568/establishing-visa-and-foreign-visitor-processing-goals-and-the-task-force-on-travel-and,https://www.gpo.gov/fdsys/pkg/FR-2012-01-24/pdf/2012-1568.pdf,01/24/2012,01/19/2012,3373,Establishing Visa and Foreign Visitor Processing Goals and the Task Force On Travel and Competitiveness
77 FR 5369, 2012-2557,5372,"",13598,https://www.federalregister.gov/documents/2012/02/02/2012-2557/assignment-of-functions-relating-to-certain-promotion-and-appointment-actions-in-the-armed-forces,https://www.gpo.gov/fdsys/pkg/FR-2012-02-02/pdf/2012-2557.pdf,02/02/2012,01/27/2012,5369,Assignment of Functions Relating to Certain Promotion and Appointment Actions in the Armed Forces
77 FR 6657, 2012-3097,6662,"See: EO 12957, March 15, 1995; EO 12170, November 14, 1979; EO 12281, January 19, 1981; EO 13628, October 9, 2012",13599,https://www.federalregister.gov/documents/2012/02/08/2012-3097/blocking-property-of-the-government-of-iran-and-iranian-financial-institutions,https://www.gpo.gov/fdsys/pkg/FR-2012-02-08/pdf/2012-3097.pdf,02/08/2012,02/05/2012,6657,Blocking Property of the Government of Iran and Iranian Financial Institutions
77 FR 8711, 2012-3616,8715,"Amended by: EO 13652, September 30, 2013;
 Continued by: EO 13652, September 30, 2013; EO 13708, September 30, 2015",13600,https://www.federalregister.gov/documents/2012/02/14/2012-3616/establishing-the-presidents-global-development-council,https://www.gpo.gov/fdsys/pkg/FR-2012-02-14/pdf/2012-3616.pdf,02/14/2012,02/09/2012,8711,Establishing the President's Global Development Council
77 FR 12981, 2012-5366,12983,"",13601,https://www.federalregister.gov/documents/2012/03/05/2012-5366/establishment-of-the-interagency-trade-enforcement-center,https://www.gpo.gov/fdsys/pkg/FR-2012-03-05/pdf/2012-5366.pdf,03/05/2012,02/28/2012,12981,Establishment of the Interagency Trade Enforcement Center
77 FR 16131, 2012-6797,16134,"Revoked by: EO 13748, November 16, 2016",13602,https://www.federalregister.gov/documents/2012/03/20/2012-6797/establishing-a-white-house-council-on-strong-cities-strong-communities,https://www.gpo.gov/fdsys/pkg/FR-2012-03-20/pdf/2012-6797.pdf,03/20/2012,03/15/2012,16131,"Establishing a White House Council on Strong Cities, Strong Communities"
77 FR 16651, 2012-7019,16660,"See: EO 11858, May 7, 1975; EO 12472, April 3, 1984; EO 12656, November 18, 1988",13603,https://www.federalregister.gov/documents/2012/03/22/2012-7019/national-defense-resources-preparedness,https://www.gpo.gov/fdsys/pkg/FR-2012-03-22/pdf/2012-7019.pdf,03/22/2012,03/16/2012,16651,National Defense Resources Preparedness
77 FR 18885, 2012-7636,18890,"See: EO 13563, January 18, 2011; EO 13580, July 12, 2011; EO 13616, June 14, 2012",13604,https://www.federalregister.gov/documents/2012/03/28/2012-7636/improving-performance-of-federal-permitting-and-review-of-infrastructure-projects,https://www.gpo.gov/fdsys/pkg/FR-2012-03-28/pdf/2012-7636.pdf,03/28/2012,03/22/2012,18885,Improving Performance of Federal Permitting and Review of Infrastructure Projects
77 FR 23105, 2012-9473,23108,"",13605,https://www.federalregister.gov/documents/2012/04/17/2012-9473/supporting-safe-and-responsible-development-of-unconventional-domestic-natural-gas-resources,https://www.gpo.gov/fdsys/pkg/FR-2012-04-17/pdf/2012-9473.pdf,04/17/2012,04/13/2012,23105,Supporting Safe and Responsible Development of Unconventional Domestic Natural Gas Resources
77 FR 24569, 2012-10034,24574,"See: EO 12957, March 15, 1995; EO 13338, May 11, 2004",13606,https://www.federalregister.gov/documents/2012/04/24/2012-10034/blocking-the-property-and-suspending-entry-into-the-united-states-of-certain-persons-with-respect-to,https://www.gpo.gov/fdsys/pkg/FR-2012-04-24/pdf/2012-10034.pdf,04/24/2012,04/22/2012,24569,Blocking the Property and Suspending Entry Into the United States of Certain Persons With Respect to Grave Human Rights Abuses by the Governments of Iran and Syria via Information Technology
77 FR 25861, 2012-10715,25864,"",13607,https://www.federalregister.gov/documents/2012/05/02/2012-10715/establishing-principles-of-excellence-for-educational-institutions-serving-service-members-veterans,https://www.gpo.gov/fdsys/pkg/FR-2012-05-02/pdf/2012-10715.pdf,05/02/2012,04/27/2012,25861,"Establishing Principles of Excellence for Educational Institutions Serving Service Members, Veterans, Spouses, and Other Family Members"
77 FR 26407, 2012-10884,26411,"See: EO 12938, November 4, 1994; EO 12957, March 15, 1995; EO 13224, September 23, 2001; EO 13338, May 1, 2004",13608,https://www.federalregister.gov/documents/2012/05/03/2012-10884/prohibiting-certain-transactions-with-and-suspending-entry-into-the-united-states-of-foreign,https://www.gpo.gov/fdsys/pkg/FR-2012-05-03/pdf/2012-10884.pdf,05/03/2012,05/01/2012,26407,Prohibiting Certain Transactions With and Suspending Entry Into the United States of Foreign Sanctions Evaders With Respect to Iran and Syria
77 FR 26413, 2012-10968,26415,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011",13609,https://www.federalregister.gov/documents/2012/05/04/2012-10968/promoting-international-regulatory-cooperation,https://www.gpo.gov/fdsys/pkg/FR-2012-05-04/pdf/2012-10968.pdf,05/04/2012,05/01/2012,26413,Promoting International Regulatory Cooperation
77 FR 28467, 2012-11798,28470,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011; EO 13636, February 12, 2013; EO 13707, September 15, 2015",13610,https://www.federalregister.gov/documents/2012/05/14/2012-11798/identifying-and-reducing-regulatory-burdens,https://www.gpo.gov/fdsys/pkg/FR-2012-05-14/pdf/2012-11798.pdf,05/14/2012,05/10/2012,28467,Identifying and Reducing Regulatory Burdens
77 FR 29533, 2012-12225,29535,"",13611,https://www.federalregister.gov/documents/2012/05/18/2012-12225/blocking-property-of-persons-threatening-the-peace-security-or-stability-of-yemen,https://www.gpo.gov/fdsys/pkg/FR-2012-05-18/pdf/2012-12225.pdf,05/18/2012,05/16/2012,29533,"Blocking Property of Persons Threatening the Peace, Security, or Stability of Yemen"
77 FR 31153, 2012-12881,31154,"Revokes: EO 13542, May 13, 2010",13612,https://www.federalregister.gov/documents/2012/05/24/2012-12881/providing-an-order-of-succession-within-the-department-of-agriculture,https://www.gpo.gov/fdsys/pkg/FR-2012-05-24/pdf/2012-12881.pdf,05/24/2012,05/21/2012,31153,Providing an Order of Succession Within the Department of Agriculture
77 FR 31155, 2012-12882,31156,"Revokes: EO 13242, December 18, 2001",13613,https://www.federalregister.gov/documents/2012/05/24/2012-12882/providing-an-order-of-succession-within-the-department-of-commerce,https://www.gpo.gov/fdsys/pkg/FR-2012-05-24/pdf/2012-12882.pdf,05/24/2012,05/21/2012,31155,Providing an Order of Succession Within the Department of Commerce
77 FR 31157, 2012-12883,31158,"Revokes: EO 13261, March 19, 2002; EO 13344, July 7, 2004",13614,https://www.federalregister.gov/documents/2012/05/24/2012-12883/providing-an-order-of-succession-within-the-environmental-protection-agency,https://www.gpo.gov/fdsys/pkg/FR-2012-05-24/pdf/2012-12883.pdf,05/24/2012,05/21/2012,31157,Providing an Order of Succession Within the Environmental Protection Agency
77 FR 31159, 2012-12889,31160,"Revokes: EO 13370, January 13, 2005",13615,https://www.federalregister.gov/documents/2012/05/24/2012-12889/providing-an-order-of-succession-within-the-office-of-management-and-budget,https://www.gpo.gov/fdsys/pkg/FR-2012-05-24/pdf/2012-12889.pdf,05/24/2012,05/21/2012,31159,Providing an Order of Succession Within the Office of Management and Budget
77 FR 36903, 2012-15183,36906,"See: EO 13604, March 2, 2012",13616,https://www.federalregister.gov/documents/2012/06/20/2012-15183/accelerating-broadband-infrastructure-deployment,https://www.gpo.gov/fdsys/pkg/FR-2012-06-20/pdf/2012-15183.pdf,06/20/2012,06/14/2012,36903,Accelerating Broadband Infrastructure Deployment
77 FR 38457, 2012-15954,38461,"See: EO 12938, November 14, 1994; EO 13085, May 26, 1998; EO 13159, June 21, 2000
Revoked by: EO 13695, May 26, 2015",13617,https://www.federalregister.gov/documents/2012/06/27/2012-15954/blocking-property-of-the-government-of-the-russian-federation-relating-to-the-disposition-of-highly,https://www.gpo.gov/fdsys/pkg/FR-2012-06-27/pdf/2012-15954.pdf,06/27/2012,06/25/2012,38457,Blocking Property of the Government of the Russian Federation Relating to the Disposition of Highly Enriched Uranium Extracted From Nuclear Weapons
77 FR 40779, 2012-17022,40783,"Revokes: EO 12472, April 3, 1984;;
 ;  Amends: EO 12382, September 13, 1982;;
 ;  See: EO 12333, December 4, 1981; EO 13526, December 29, 2009",13618,https://www.federalregister.gov/documents/2012/07/11/2012-17022/assignment-of-national-security-and-emergency-preparedness-communications-functions,https://www.gpo.gov/fdsys/pkg/FR-2012-07-11/pdf/2012-17022.pdf,07/11/2012,07/06/2012,40779,Assignment of National Security and Emergency Preparedness Communications Functions
77 FR 41243, 2012-17264,41245,"Amends: EO 13448, October 18, 2007; EO 13464, April 30, 2008
See: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13448, October 18, 2007; EO 13464, April 30, 2008
Revoked by: EO 13742, October 7, 2016
",13619,https://www.federalregister.gov/documents/2012/07/13/2012-17264/blocking-property-of-persons-threatening-the-peace-security-or-stability-of-burma,https://www.gpo.gov/fdsys/pkg/FR-2012-07-13/pdf/2012-17264.pdf,07/13/2012,07/11/2012,41243,"Blocking Property of Persons Threatening the Peace, Security, or Stability of Burma"
77 FR 43481, 2012-18237,43485,"See: EO 13536, April 12, 2010",13620,https://www.federalregister.gov/documents/2012/07/24/2012-18237/taking-additional-steps-to-address-the-national-emergency-with-respect-to-somalia,https://www.gpo.gov/fdsys/pkg/FR-2012-07-24/pdf/2012-18237.pdf,07/24/2012,07/20/2012,43481,Taking Additional Steps to Address the National Emergency With Respect to Somalia
77 FR 45471, 2012-18868,45476,"Continued by: EO 13652 , September 30, 2013; EO 13708, September 30, 2015
 See: EO 13532, February 26, 2010",13621,https://www.federalregister.gov/documents/2012/08/01/2012-18868/white-house-initiative-on-educational-excellence-for-african-americans,https://www.gpo.gov/fdsys/pkg/FR-2012-08-01/pdf/2012-18868.pdf,08/01/2012,07/26/2012,45471,White House Initiative on Educational Excellence for African Americans
77 FR 45897, 2012-19055,45902,"Amended by: EO 13628, October 9, 2012
See: EO 12957, March 15, 1995; EO 13628, October 9, 2012
Revoked by: EO 13716, January 16, 2016",13622,https://www.federalregister.gov/documents/2012/08/02/2012-19055/authorizing-additional-sanctions-with-respect-to-iran,https://www.gpo.gov/fdsys/pkg/FR-2012-08-02/pdf/2012-19055.pdf,08/02/2012,07/30/2012,45897,Authorizing Additional Sanctions With Respect to Iran
77 FR 49345, 2012-20259,49348,"",13623,https://www.federalregister.gov/documents/2012/08/16/2012-20259/preventing-and-responding-to-violence-against-women-and-girls-globally,https://www.gpo.gov/fdsys/pkg/FR-2012-08-16/pdf/2012-20259.pdf,08/16/2012,08/10/2012,49345,Preventing and Responding to Violence Against Women and Girls Globally
77 FR 54777, 2012-22030,54781,"",13624,https://www.federalregister.gov/documents/2012/09/05/2012-22030/accelerating-investment-in-industrial-energy-efficiency,https://www.gpo.gov/fdsys/pkg/FR-2012-09-05/pdf/2012-22030.pdf,09/05/2012,08/30/2012,54777,Accelerating Investment in Industrial Energy Efficiency
77 FR 54783, 2012-22062,54786,"",13625,https://www.federalregister.gov/documents/2012/09/05/2012-22062/improving-access-to-mental-health-services-for-veterans-service-members-and-military-families,https://www.gpo.gov/fdsys/pkg/FR-2012-09-05/pdf/2012-22062.pdf,09/05/2012,08/31/2012,54783,"Improving Access to Mental Health Services for Veterans, Service Members, and Military Families"
77 FR 56749, 2012-22807,56752,"See: EO 12777, October 18,1991; EO 13554, October 5, 2010",13626,https://www.federalregister.gov/documents/2012/09/13/2012-22807/gulf-coast-ecosystem-restoration,https://www.gpo.gov/fdsys/pkg/FR-2012-09-13/pdf/2012-22807.pdf,09/13/2012,09/10/2012,56749,Gulf Coast Ecosystem Restoration
77 FR 60029, 2012-24374,60033,"",13627,https://www.federalregister.gov/documents/2012/10/02/2012-24374/strengthening-protections-against-trafficking-in-persons-in-federal-contracts,https://www.gpo.gov/fdsys/pkg/FR-2012-10-02/pdf/2012-24374.pdf,10/02/2012,09/25/2012,60029,Strengthening Protections Against Trafficking in Persons in Federal Contracts
77 FR 62139, 2012-25236,62145,"Amends: EO 13622, July 30, 2012
See: EO 12957, March 15, 1995; EO 12959, May 6, 1995; EO 13059, August 19, 1997; EO 13599, February 5, 2012; EO 13622, July 30, 2012
Amended by: EO 13716, January 16, 2016",13628,https://www.federalregister.gov/documents/2012/10/12/2012-25236/authorizing-the-implementation-of-certain-sanctions-set-forth-in-the-iran-threat-reduction-and-syria,https://www.gpo.gov/fdsys/pkg/FR-2012-10-12/pdf/2012-25236.pdf,10/12/2012,10/09/2012,62139,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Threat Reduction and Syria Human Rights Act of 2012 and Additional Sanctions With Respect to Iran
