citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
60 FR 13023,95-6121,13025,NA,12954,https://www.federalregister.gov/documents/1995/03/10/95-6121/ensuring-the-economical-and-efficient-administration-and-completion-of-federal-government-contracts,https://www.gpo.gov/fdsys/pkg/FR-1995-03-10/pdf/95-6121.pdf,3/10/95,3/8/95,13023,Ensuring the Economical and Efficient Administration and Completion of Federal Government Contracts
60 FR 13365,95-6211,13365,"Supersedes: EO 12903, March 9, 1994",12955,https://www.federalregister.gov/documents/1995/03/10/95-6211/nuclear-cooperation-with-euratom,https://www.gpo.gov/fdsys/pkg/FR-1995-03-10/pdf/95-6211.pdf,3/10/95,3/9/95,13365,Nuclear Cooperation With EURATOM
60 FR 14199,95-6588,14199,NA,12956,https://www.federalregister.gov/documents/1995/03/15/95-6588/executive-order-12956-of-march-13-1995,https://www.gpo.gov/fdsys/pkg/FR-1995-03-15/pdf/95-6588.pdf,3/15/95,3/13/95,14199,"Executive Order 12956 of March 13, 1995"
60 FR 14615,95-6849,14616,"Revoked in part and supplemented by: EO 12959, May 6, 1995;;
 ;  Revoked in part by: EO 13059, August 19, 1997;;
 ;  See: Notice of March 8, 1996; Notice of March 5, 1997; Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 13, 2002; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010; EO 13553, September 28, 2010; EO 13574, May 23, 2011; EO 13590, November 20, 2011; EO 13606, April 22, 2012; EO 13608, May 1, 2012; EO 13622, July 30, 2012; EO 13628, October 9, 2012",12957,https://www.federalregister.gov/documents/1995/03/17/95-6849/prohibiting-certain-transactions-with-respect-to-the-development-of-iranian-petroleum-resources,https://www.gpo.gov/fdsys/pkg/FR-1995-03-17/pdf/95-6849.pdf,3/17/95,3/15/95,14615,Prohibiting Certain Transactions With Respect to the Development of Iranian Petroleum Resources
60 FR 19825,95-9941,19843,"Revokes: EO 12356, April 6, 1982;;
 ;  Amended by: EO 12972, September 18, 1995; EO 13142, November 19, 1999; EO 13292, March 25, 2003;;
 ;  Revoked by: EO 13526, December 29, 2009;;
 ;  See: Order of October 13, 1995; Order of February 27, 1996; Order of February 26, 1997; Final rule of July 1, 1997 (62 FR 36984); EO 13231, October 16, 2001; Military order of November 13, 2001 (66 FR 57833); Order of December 10, 2001 (66 FR 64347); EO 13284, January 23, 2003; EO 13311, July 29, 2003; Order of September 17, 2003 (68 FR 55257); EO 13329, February 24, 2004; EO 13354, August 27, 2004; EO 13356, August 27, 2004; Order of April 21, 2005; EO 13387, October 14, 2005; EO 13388, October 25, 2005; EO 13462, February 29, 2008; EO 13467, June 30, 2008; EO 13470, July 30, 2008; EO 13516, October 28, 2009",12958,https://www.federalregister.gov/documents/1995/04/20/95-9941/classified-national-security-information,https://www.gpo.gov/fdsys/pkg/FR-1995-04-20/pdf/95-9941.pdf,4/20/95,4/17/95,19825,Classified National Security Information
60 FR 24757,95-11694,24759,"Revokes in part and supplements: EO 12613, October 29, 1987;EO 12957, March 15, 1995;;
 ;  Revoked in part by: EO 13059, August 19, 1997;;
 ;  See: Notice of March 8, 1996; Notice of March 5, 1997; Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 13, 2002; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010; EO 13628, October 9, 2012",12959,https://www.federalregister.gov/documents/1995/05/09/95-11694/prohibiting-certain-transactions-with-respect-to-iran,https://www.gpo.gov/fdsys/pkg/FR-1995-05-09/pdf/95-11694.pdf,5/9/95,5/6/95,24757,Prohibiting Certain Transactions With Respect to Iran
60 FR 26647,95-12285,26666,NA,12960,https://www.federalregister.gov/documents/1995/05/17/95-12285/amendments-to-the-manual-for-courts-martial-united-states-1984,https://www.gpo.gov/fdsys/pkg/FR-1995-05-17/pdf/95-12285.pdf,5/17/95,5/12/95,26647,"Amendments to the Manual for Courts-Martial, United States, 1984"
60 FR 28507,95-13484,28508,NA,12961,https://www.federalregister.gov/documents/1995/05/31/95-13484/presidential-advisory-committee-on-gulf-war-veterans-illnesses,https://www.gpo.gov/fdsys/pkg/FR-1995-05-31/pdf/95-13484.pdf,5/31/95,5/26/95,28507,Presidential Advisory Committee on Gulf War Veterans' Illnesses
60 FR 30769,95-14407,30770,"Amended by: EO 13474, September 26, 2008",12962,https://www.federalregister.gov/documents/1995/06/09/95-14407/recreational-fisheries,https://www.gpo.gov/fdsys/pkg/FR-1995-06-09/pdf/95-14407.pdf,6/9/95,6/7/95,30769,Recreational Fisheries
60 FR 31905,95-14983,31906,"Amended by: EO 13009, June 14, 1996
Continued by: EO 13708, September 30, 2015",12963,https://www.federalregister.gov/documents/1995/06/16/95-14983/presidential-advisory-council-on-hivaids,https://www.gpo.gov/fdsys/pkg/FR-1995-06-16/pdf/95-14983.pdf,6/16/95,6/14/95,31905,Presidential Advisory Council on HIV/AIDS
60 FR 33095,95-15760,33096,"Amended by: EO 12987, January 31, 1996; EO 13032, December 26, 1996
Revoked by: EO 13062, September 29, 1997",12964,https://www.federalregister.gov/documents/1995/06/26/95-15760/commission-on-united-states-pacific-trade-and-investment-policy,https://www.gpo.gov/fdsys/pkg/FR-1995-06-26/pdf/95-15760.pdf,6/26/95,6/21/95,33095,Commission on United States-Pacific Trade and Investment Policy
60 FR 34087,95-16320,34087,"Amends: EO 12852, June 29, 1993;;
 ;  Note: EO 12965 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",12965,https://www.federalregister.gov/documents/1995/06/30/95-16320/further-amendment-to-executive-order-no-12852,https://www.gpo.gov/fdsys/pkg/FR-1995-06-30/pdf/95-16320.pdf,6/30/95,6/27/95,34087,Further Amendment to Executive Order No. 12852
60 FR 36949,95-17828,36949,NA,12966,https://www.federalregister.gov/documents/1995/07/18/95-17828/foreign-disaster-assistance,https://www.gpo.gov/fdsys/pkg/FR-1995-07-18/pdf/95-17828.pdf,7/18/95,7/14/95,36949,Foreign Disaster Assistance
60 FR 39623,95-19174,39624,NA,12967,https://www.federalregister.gov/documents/1995/08/02/95-19174/establishing-an-emergency-board-to-investigate-disputes-between-metro-north-commuter-railroad-and,https://www.gpo.gov/fdsys/pkg/FR-1995-08-02/pdf/95-19174.pdf,8/2/95,7/31/95,39623,Establishing an Emergency Board To Investigate Disputes Between Metro North Commuter Railroad and Its Employees Represented by Certain Labor Organizations
60 FR 40245,95-19654,40254,"Amended by: EO 13467, June 30, 2008;;
 ;  See: Final rule of March 26, 1997 (62 FR 17683); Final rule of July 1, 1997 (62 FR 36984); EO 13284, January 23, 2003; EO 13311, July 29, 2003; EO 13462, February 29, 2008; EO 13516, October 28, 2009; EO 13539, April 21, 2010; EO 13549, August 18, 2010",12968,https://www.federalregister.gov/documents/1995/08/07/95-19654/access-to-classified-information,https://www.gpo.gov/fdsys/pkg/FR-1995-08-07/pdf/95-19654.pdf,8/7/95,8/2/95,40245,Access to Classified Information
60 FR 40989,95-19972,40992,"Revoked by: EO 13148, April 21, 2000;;
 ;  See: EO 13101, September 14, 1998",12969,https://www.federalregister.gov/documents/1995/08/10/95-19972/federal-acquisition-and-community-right-to-know,https://www.gpo.gov/fdsys/pkg/FR-1995-08-10/pdf/95-19972.pdf,8/10/95,8/8/95,40989,Federal Acquisition and Community Right-To-Know
60 FR 48359,95-23338,48359,"Amends: EO 12864, September 15, 1993;;
 ;  Revoked by: EO 13062, September 29, 1997",12970,https://www.federalregister.gov/documents/1995/09/18/95-23338/further-amendment-to-executive-order-no-12864,https://www.gpo.gov/fdsys/pkg/FR-1995-09-18/pdf/95-23338.pdf,9/18/95,9/14/95,48359,Further Amendment to Executive Order No. 12864
60 FR 48617,95-23423,48617,"Amends: EO 12425, June 6, 1983",12971,https://www.federalregister.gov/documents/1995/09/19/95-23423/amendment-to-executive-order-no-12425,https://www.gpo.gov/fdsys/pkg/FR-1995-09-19/pdf/95-23423.pdf,9/19/95,9/15/95,48617,Amendment to Executive Order No. 12425
60 FR 48863,95-23581,48863,"Amends: EO 12958, April 17, 1995",12972,https://www.federalregister.gov/documents/1995/09/21/95-23581/amendment-to-executive-order-no-12958,https://www.gpo.gov/fdsys/pkg/FR-1995-09-21/pdf/95-23581.pdf,9/21/95,9/18/95,48863,Amendment to Executive Order No. 12958
60 FR 51665,95-24649,51665,"Amends: EO 12901, March 3, 1994",12973,https://www.federalregister.gov/documents/1995/10/02/95-24649/amendment-to-executive-order-no-12901,https://www.gpo.gov/fdsys/pkg/FR-1995-10-02/pdf/95-24649.pdf,10/2/95,9/27/95,51665,Amendment to Executive Order No. 12901
60 FR 51875,95-24754,51876,"Continues certain committee established by: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, October 24, 1964; EO 11776, March 28, 1974; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12345, February 2, 1982; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12871, October 1, 1993; EO 12876, November 1, 1993; EO 12882, November 23, 1993; EO 12900, February 22, 1994; EO 12905, March 25, 1994;;
 ;  Revokes in part: EO 12844, April 21, 1993;;
 ;  Supersedes: EO 12869, September 30, 1993;;
 ;  Revokes: EO 12878, November 5, 1993;;
 ;  Superseded by: EO 13062, September 29, 1997;;
 ;  See: EO 12887, December 23, 1993; EO 12912, April 29, 1994",12974,https://www.federalregister.gov/documents/1995/10/03/95-24754/continuance-of-certain-federal-advisory-committees,https://www.gpo.gov/fdsys/pkg/FR-1995-10-03/pdf/95-24754.pdf,10/3/95,9/29/95,51875,Continuance of Certain Federal Advisory Committees
60 FR 52063,95-24921,52065,"Amended by: EO 13018, September 16, 1996; EO 13046, May 16, 1997; EO 13137, September 15, 1999;;
 ;  Revoked by: EO 13316, September 17, 2003",12975,https://www.federalregister.gov/documents/1995/10/05/95-24921/protection-of-human-research-subjects-and-creation-of-national-bioethics-advisory-commission,https://www.gpo.gov/fdsys/pkg/FR-1995-10-05/pdf/95-24921.pdf,10/5/95,10/3/95,52063,Protection of Human Research Subjects and Creation of National Bioethics Advisory Commission
60 FR 52829,95-25256,52830,NA,12976,https://www.federalregister.gov/documents/1995/10/10/95-25256/compensation-practices-of-government-corporations,https://www.gpo.gov/fdsys/pkg/FR-1995-10-10/pdf/95-25256.pdf,10/10/95,10/5/95,52829,Compensation Practices of Government Corporations
60 FR 54411,95-26497,54412,"Amends: EO 13286, February 28, 2003",12977,https://www.federalregister.gov/documents/1995/10/24/95-26497/interagency-security-committee,https://www.gpo.gov/fdsys/pkg/FR-1995-10-24/pdf/95-26497.pdf,10/24/95,10/19/95,54411,Interagency Security Committee
60 FR 54579,95-26569,54580,"Amended by: EO 13286, February 28, 2003;;
 ;  See: Notice of October 16, 1996; Notice of October 17, 1997; Notice of October 19, 1998; Notice of October 19, 1999; Notice of October 19, 2000; Notice of October 16, 2001; Notice of October 16, 2002; Notice of October 16, 2003; Notice of October 19, 2004; Notice of October 19, 2005; Notice of October 19, 2006; Notice of October 18, 2007; Notice of October 16, 2008; Notice of October 16, 2009",12978,https://www.federalregister.gov/documents/1995/10/24/95-26569/blocking-assets-and-prohibiting-transactions-with-significant-narcotics-traffickers,https://www.gpo.gov/fdsys/pkg/FR-1995-10-24/pdf/95-26569.pdf,10/24/95,10/21/95,54579,Blocking Assets and Prohibiting Transactions With Significant Narcotics Traffickers
60 FR 55171,95-26944,55172,NA,12979,https://www.federalregister.gov/documents/1995/10/27/95-26944/agency-procurement-protests,https://www.gpo.gov/fdsys/pkg/FR-1995-10-27/pdf/95-26944.pdf,10/27/95,10/25/95,55171,Agency Procurement Protests
60 FR 57819,95-28630,57819,"Amends: EO 12852, June 29, 1993;;
 ;  Note: EO 12980 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999.",12980,https://www.federalregister.gov/documents/1995/11/21/95-28630/further-amendment-to-executive-order-no-12852-as-amended,https://www.gpo.gov/fdsys/pkg/FR-1995-11-21/pdf/95-28630.pdf,11/21/95,11/17/95,57819,"Further Amendment to Executive Order No. 12852, as Amended"
60 FR 62981,95-30106,62985,"Amended by: EO 13020, October 12, 1996; EO 13026, November 15, 1996;;
 ;  See: EO 11533, June 4, 1970; EO 12002, July 7, 1977; EO 12924, August 19, 1994; EO 13206, April 4, 2001",12981,https://www.federalregister.gov/documents/1995/12/08/95-30106/administration-of-export-controls,https://www.gpo.gov/fdsys/pkg/FR-1995-12-08/pdf/95-30106.pdf,12/8/95,12/5/95,62981,Administration of Export Controls
60 FR 63895,95-30451,63895,"Amends: EO 13286, February 28, 2003;;
 ;  See: Department of Defense notice of February 11, 1997 (62 FR 6953)",12982,https://www.federalregister.gov/documents/1995/12/12/95-30451/ordering-the-selected-reserve-of-the-armed-forces-to-active-duty,https://www.gpo.gov/fdsys/pkg/FR-1995-12-12/pdf/95-30451.pdf,12/12/95,12/8/95,63895,Ordering the Selected Reserve of the Armed Forces to Active Duty
60 FR 66855,95-31437,66855,"Amends: EO 12871, October 1, 1993;;
 ;  See: EO 13156, May 17, 2000; EO 13203, February 17, 2001",12983,https://www.federalregister.gov/documents/1995/12/27/95-31437/amendment-to-executive-order-no-12871,https://www.gpo.gov/fdsys/pkg/FR-1995-12-27/pdf/95-31437.pdf,12/27/95,12/21/95,66855,Amendment to Executive Order No. 12871
61 FR 237,95-31595,246,"Amended by: EO 12990, February 29, 1996;;
 ;  Superseded by: EO 13033, December 27, 1996",12984,https://www.federalregister.gov/documents/1996/01/03/95-31595/adjustments-of-certain-rates-of-pay-and-allowances,https://www.gpo.gov/fdsys/pkg/FR-1996-01-03/pdf/95-31595.pdf,1/3/96,12/28/95,237,Adjustments of Certain Rates of Pay and Allowances
61 FR 1209,96-622,1209,"Amended by: EO 13286, February 28, 2003;;
 ;  See: EO 13154, May 3, 2000",12985,https://www.federalregister.gov/documents/1996/01/18/96-622/establishing-the-armed-forces-service-medal,https://www.gpo.gov/fdsys/pkg/FR-1996-01-18/pdf/96-622.pdf,1/18/96,1/11/96,1209,Establishing the Armed Forces Service Medal
61 FR 1693,96-955,1693,NA,12986,https://www.federalregister.gov/documents/1996/01/22/96-955/international-union-for-conservation-of-nature-and-natural-resources,https://www.gpo.gov/fdsys/pkg/FR-1996-01-22/pdf/96-955.pdf,1/22/96,1/18/96,1693,International Union for Conservation of Nature and Natural Resources
61 FR 4205,96-2407,4205,"Amends: EO 12964, June 21, 1995;;
 ;  See: EO 13032, December 26, 1996;;
 ;  Revoked by: EO 13062, September 29, 1997",12987,https://www.federalregister.gov/documents/1996/02/02/96-2407/amendment-to-executive-order-no-12964,https://www.gpo.gov/fdsys/pkg/FR-1996-02-02/pdf/96-2407.pdf,2/2/96,1/31/96,4205,Amendment to Executive Order No. 12964
61 FR 4729,96-2755,4963,"Revokes: EO 12778, October 23, 1991;;
 ;  Supplemented by: EO 13083, May 14, 1998 (which was suspended by EO 13095, August 5, 1998); EO 13084, May 14, 1998; EO 13132, August 4, 1999;;
 ;  See: EO 12866, September 30, 1993; EO 13175, November 6, 2000",12988,https://www.federalregister.gov/documents/1996/02/09/96-2755/civilian-health-and-medical-program-of-the-uniformed-services-champus,https://www.gpo.gov/fdsys/pkg/FR-1996-02-09/pdf/96-2755.pdf,2/9/96,2/5/96,4962,Civilian Health and Medical Program of the Uniformed Services (CHAMPUS)
61 FR 6091,96-3646,6093,"Amended by: EO 13286, February 28, 2003; EO 13466, June 26, 2008",12989,https://www.federalregister.gov/documents/1996/02/15/96-3646/economy-and-efficiency-in-government-procurement-through-compliance-with-certain-immigration-and,https://www.gpo.gov/fdsys/pkg/FR-1996-02-15/pdf/96-3646.pdf,2/15/96,2/13/96,6091,Economy and Efficiency in Government Procurement Through Compliance With Certain Immigration and Naturalization Act Provisions
61 FR 8467,96-5263,8470,"Amends: EO 12984, December 28, 1995;;
 ;  Superseded by: EO 13033, December 27, 1996",12990,https://www.federalregister.gov/documents/1996/03/05/96-5263/adjustments-of-rates-of-pay-and-allowances-for-the-uniformed-services-amendment-to-executive-order,https://www.gpo.gov/fdsys/pkg/FR-1996-03-05/pdf/96-5263.pdf,3/5/96,2/29/96,8467,"Adjustments of Rates of Pay and Allowances for the Uniformed Services, Amendment to Executive Order No. 12984"
61 FR 9587,96-5832,9587,"Amends: EO 12131, May 4, 1979",12991,https://www.federalregister.gov/documents/1996/03/08/96-5832/adding-the-small-business-administration-to-the-presidents-export-council,https://www.gpo.gov/fdsys/pkg/FR-1996-03-08/pdf/96-5832.pdf,3/8/96,3/6/96,9587,Adding the Small Business Administration to the President's Export Council
61 FR 11287,96-6803,11288,"Amended by: EO 13023, November 6, 1996; EO 13284, January 23, 2003",12992,https://www.federalregister.gov/documents/1996/03/19/96-6803/presidents-council-on-counter-narcotics,https://www.gpo.gov/fdsys/pkg/FR-1996-03-19/pdf/96-6803.pdf,3/19/96,3/15/96,11287,President's Council on Counter-Narcotics
61 FR 13043,96-7460,13045,NA,12993,https://www.federalregister.gov/documents/1996/03/26/96-7460/administrative-allegations-against-inspectors-general,https://www.gpo.gov/fdsys/pkg/FR-1996-03-26/pdf/96-7460.pdf,3/26/96,3/21/96,13043,Administrative Allegations Against Inspectors General
61 FR 13047,96-7461,13049,"Amended by: EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13309, July 25, 2003; EO 13385, September 29, 2005; EO 13446, September 28, 2007
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009;  EO 13652, September 30, 2013; EO 13708, September 30, 2015
See: EO 13585, September 30, 2011",12994,https://www.federalregister.gov/documents/1996/03/26/96-7461/continuing-the-presidents-committee-on-mental-retardation-and-broadening-its-membership-and,https://www.gpo.gov/fdsys/pkg/FR-1996-03-26/pdf/96-7461.pdf,3/26/96,3/21/96,13047,Continuing the President's Committee on Mental Retardation and Broadening Its Membership and Responsibilities
61 FR 13645,96-7773,13645,"Amends: EO 12873, October 20, 1993",12995,https://www.federalregister.gov/documents/1996/03/28/96-7773/amendment-to-executive-order-no-12873,https://www.gpo.gov/fdsys/pkg/FR-1996-03-28/pdf/96-7773.pdf,3/28/96,3/25/96,13645,Amendment to Executive Order No. 12873
61 FR 13647,96-7774,13648,NA,12996,https://www.federalregister.gov/documents/1996/03/28/96-7774/management-and-general-public-use-of-the-national-wildlife-refuge-system,https://www.gpo.gov/fdsys/pkg/FR-1996-03-28/pdf/96-7774.pdf,3/28/96,3/25/96,13647,Management and General Public Use of the National Wildlife Refuge System
61 FR 14949,96-8520,14949,NA,12997,https://www.federalregister.gov/documents/1996/04/04/96-8520/korean-peninsula-energy-development-organization,https://www.gpo.gov/fdsys/pkg/FR-1996-04-04/pdf/96-8520.pdf,4/4/96,4/1/96,14949,Korean Peninsula Energy Development Organization
61 FR 15873,96-9033,15873,"Amends: EO 11880, October 2, 1975;;
 ;  Revoked by: EO 13242, December 18, 2001",12998,https://www.federalregister.gov/documents/1996/04/09/96-9033/amendment-to-executive-order-no-11880,https://www.gpo.gov/fdsys/pkg/FR-1996-04-09/pdf/96-9033.pdf,4/9/96,4/5/96,15873,Amendment to Executive Order No. 11880
61 FR 17227,96-9866,17229,"Supersedes: EO 12821, November 16, 1992",12999,https://www.federalregister.gov/documents/1996/04/19/96-9866/educational-technology-ensuring-opportunity-for-all-children-in-the-next-century,https://www.gpo.gov/fdsys/pkg/FR-1996-04-19/pdf/96-9866.pdf,4/19/96,4/17/96,17227,Educational Technology: Ensuring Opportunity for All Children in the Next Century
61 FR 18483,96-10550,18484,"Revokes: EO 12787, December 31, 1991;;
 ;  Revoked by: EO 13394, December 22, 2005",13000,https://www.federalregister.gov/documents/1996/04/26/96-10550/order-of-succession-of-officers-to-act-as-secretary-of-defense,https://www.gpo.gov/fdsys/pkg/FR-1996-04-26/pdf/96-10550.pdf,4/26/96,4/24/96,18483,Order of Succession of Officers To Act as Secretary of Defense
61 FR 21943,96-11966,21945,NA,13001,https://www.federalregister.gov/documents/1996/05/10/96-11966/establishing-an-emergency-board-to-investigate-a-dispute-between-certain-railroads-represented-by,https://www.gpo.gov/fdsys/pkg/FR-1996-05-10/pdf/96-11966.pdf,5/10/96,5/8/96,21943,Establishing an Emergency Board To Investigate a Dispute Between Certain Railroads Represented by the National Railway Labor Conference and Their Employees Represented by the Transportation Communications International Union
61 FR 24665,96-12535,24665,NA,13002,https://www.federalregister.gov/documents/1996/05/16/96-12535/termination-of-combat-zone-designation-in-vietnam-and-waters-adjacent-thereto,https://www.gpo.gov/fdsys/pkg/FR-1996-05-16/pdf/96-12535.pdf,5/16/96,5/13/96,24665,Termination of Combat Zone Designation in Vietnam and Waters Adjacent Thereto
61 FR 25131,96-12720,25133,NA,13003,https://www.federalregister.gov/documents/1996/05/17/96-12720/establishing-an-emergency-board-to-investigate-disputes-between-certain-railroads-represented-by-the,https://www.gpo.gov/fdsys/pkg/FR-1996-05-17/pdf/96-12720.pdf,5/17/96,5/15/96,25131,"Establishing an Emergency Board To Investigate Disputes Between Certain Railroads Represented by the National Carriers' Conference Committee of the National Railway Labor Conference and Their Employees Represented by the Brotherhood of Maintenance of Way Employes Disputes exist between certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference, including Consolidated Rail Corporation (including the Clearfield Cluster), Burlington Northern Railroad Co., CSX Transportation Inc., Norfolk Southern Railway Co., Atchison, Topeka and Santa Fe Railway Co., Union Pacific Railroad, Chicago & North Western Railway Co., Kansas City Southern Railway Co., and their employees represented by the Brotherhood of Maintenance of Way Employes. The railroads involved in these disputes are designated on the attached list, which is made a part of this order."
61 FR 25771,96-13081,25773,NA,13004,https://www.federalregister.gov/documents/1996/05/22/96-13081/establishing-an-emergency-board-to-investigate-disputes-between-certain-railroads-represented-by-the,https://www.gpo.gov/fdsys/pkg/FR-1996-05-22/pdf/96-13081.pdf,5/22/96,5/17/96,25771,Establishing an Emergency Board To Investigate Disputes Between Certain Railroads Represented by the National Railway Labor Conference and Their- Employees Represented by Certain Labor Organizations
61 FR 26069,96-13306,26070,NA,13005,https://www.federalregister.gov/documents/1996/05/24/96-13306/empowerment-contracting,https://www.gpo.gov/fdsys/pkg/FR-1996-05-24/pdf/96-13306.pdf,5/24/96,5/21/96,26069,Empowerment Contracting
61 FR 26071,96-13305,26072,"See: EO 11593, May 13, 1971; EO 12072, August 16, 1978",13006,https://www.federalregister.gov/documents/1996/05/24/96-13305/locating-federal-facilities-on-historic-properties-in-our-nations-central-cities,https://www.gpo.gov/fdsys/pkg/FR-1996-05-24/pdf/96-13305.pdf,5/24/96,5/21/96,26071,Locating Federal Facilities on Historic Properties in Our Nation's Central Cities
61 FR 26771,96-13597,26772,NA,13007,https://www.federalregister.gov/documents/1996/05/29/96-13597/indian-sacred-sites,https://www.gpo.gov/fdsys/pkg/FR-1996-05-29/pdf/96-13597.pdf,5/29/96,5/24/96,26771,Indian Sacred Sites
61 FR 28721,96-14372,28721,"Amends: EO 12880, November 16, 1993",13008,https://www.federalregister.gov/documents/1996/06/05/96-14372/amending-executive-order-no-12880,https://www.gpo.gov/fdsys/pkg/FR-1996-06-05/pdf/96-14372.pdf,6/5/96,6/3/96,28721,Amending Executive Order No. 12880
61 FR 30799,96-15656,30799,"Amends: EO 12963, June 14, 1995",13009,https://www.federalregister.gov/documents/1996/06/18/96-15656/amendment-to-executive-order-no-12963-entitled-presidential-advisory-council-on-hivaids,https://www.gpo.gov/fdsys/pkg/FR-1996-06-18/pdf/96-15656.pdf,6/18/96,6/14/96,30799,Amendment to Executive Order No. 12963 Entitled Presidential Advisory Council on HIV/AIDS
61 FR 37347,96-18351,37350,"Amended by: EO 13025, November 13, 1996; EO 13041, April 3, 1997; EO 13064, October 11, 1997; EO 13077, March 10, 1998;;
 ;  See: EO 13130, July 14, 1999;;
 ;  Revoked in part by: EO 13138, September 30, 1999",13010,https://www.federalregister.gov/documents/1996/07/17/96-18351/critical-infrastructure-protection,https://www.gpo.gov/fdsys/pkg/FR-1996-07-17/pdf/96-18351.pdf,7/17/96,7/15/96,37347,Critical Infrastructure Protection
61 FR 37657,96-18555,37662,"Amended by: EO 13284, January 23, 2003; EO 13286, February 28, 2003;;
 ;  See: EO 13103, September 30, 1998;;
 ;  Revoked by: EO 13403, May 12, 2006",13011,https://www.federalregister.gov/documents/1996/07/19/96-18555/federal-information-technology,https://www.gpo.gov/fdsys/pkg/FR-1996-07-19/pdf/96-18555.pdf,7/19/96,7/16/96,37657,Federal Information Technology
61 FR 38051,96-18846,38051,NA,13012,https://www.federalregister.gov/documents/1996/07/23/96-18846/establishing-an-emergency-board-to-investigate-a-dispute-between-the-southeastern-pennsylvania,https://www.gpo.gov/fdsys/pkg/FR-1996-07-23/pdf/96-18846.pdf,7/23/96,7/18/96,38051,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Their Employees Represented by the Brotherhood of Locomotive Engineers
61 FR 41483,96-20531,41484,"Amends: EO 10163, September 25, 1950",13013,https://www.federalregister.gov/documents/1996/08/09/96-20531/amending-executive-order-no-10163-the-armed-forces-reserve-medal,https://www.gpo.gov/fdsys/pkg/FR-1996-08-09/pdf/96-20531.pdf,8/9/96,8/6/96,41483,"Amending Executive Order No. 10163, the Armed Forces Reserve Medal"
61 FR 42963,96-13014,42964,"Supersedes: EO 12143, June 22, 1979",13014,https://www.federalregister.gov/documents/1996/08/19/96-13014/maintaining-unofficial-relations-with-the-people-on-taiwan,https://www.gpo.gov/fdsys/pkg/FR-1996-08-19/pdf/96-13014.pdf,8/19/96,8/15/96,42963,Maintaining Unofficial Relations With the People on Taiwan
61 FR 43937,96-21996,43937,"Revoked by: EO 13062, September 29, 1997",13015,https://www.federalregister.gov/documents/1996/08/27/96-21996/white-house-commission-on-aviation-safety-and-security,https://www.gpo.gov/fdsys/pkg/FR-1996-08-27/pdf/96-21996.pdf,8/27/96,8/22/96,43937,White House Commission on Aviation Safety and Security
61 FR 45871,96-22462,45872,"Amends: EO 12580, January 23, 1987",13016,https://www.federalregister.gov/documents/1996/08/30/96-22462/amendment-to-executive-order-no-12580,https://www.gpo.gov/fdsys/pkg/FR-1996-08-30/pdf/96-22462.pdf,8/30/96,8/28/96,45871,Amendment to Executive Order No. 12580
61 FR 47659,96-23187,47660,"Amended by: EO 13040, March 25, 1997; EO 13056, July 21, 1997;;
 ;  Revoked by: EO 13138 September 30, 1999",13017,https://www.federalregister.gov/documents/1996/09/09/96-23187/advisory-commission-on-consumer-protection-and-quality-in-the-health-care-industry,https://www.gpo.gov/fdsys/pkg/FR-1996-09-09/pdf/96-23187.pdf,9/9/96,9/5/96,47659,Advisory Commission on Consumer Protection and Quality in the Health Care Industry
61 FR 49045,96-24048,49045,"Amends: EO 12975, October 13, 1995;;
 ;  See: EO 13316, September 17, 2003",13018,https://www.federalregister.gov/documents/1996/09/18/96-24048/amending-executive-order-no-12975,https://www.gpo.gov/fdsys/pkg/FR-1996-09-18/pdf/96-24048.pdf,9/18/96,9/16/96,49045,Amending Executive Order No. 12975
61 FR 51763,96-25577,51765,NA,13019,https://www.federalregister.gov/documents/1996/10/03/96-25577/supporting-families-collecting-delinquent-child-support-obligations,https://www.gpo.gov/fdsys/pkg/FR-1996-10-03/pdf/96-25577.pdf,10/3/96,9/28/96,51763,Supporting Families: Collecting Delinquent Child Support Obligations
